# date	new_cases
1/23/20	0
1/24/20	1
1/25/20	0
1/26/20	3
1/27/20	0
1/28/20	0
1/29/20	1
1/30/20	0
1/31/20	2
2/1/20	0
2/2/20	0
2/3/20	3
2/4/20	0
2/5/20	0
2/6/20	1
2/7/20	0
2/8/20	0
2/9/20	0
2/10/20	0
2/11/20	1
2/12/20	0
2/13/20	1
2/14/20	0
2/15/20	0
2/16/20	0
2/17/20	0
2/18/20	0
2/19/20	0
2/20/20	0
2/21/20	2
2/22/20	0
2/23/20	0
2/24/20	0
2/25/20	0
2/26/20	0
2/27/20	1
2/28/20	0
2/29/20	8
3/1/20	7
3/2/20	23
3/3/20	19
3/4/20	33
3/5/20	77
3/6/20	53
3/7/20	166
3/8/20	116
3/9/20	75
3/10/20	188
3/11/20	365
3/12/20	439
3/13/20	633
3/14/20	759
3/15/20	234
3/16/20	1467
3/17/20	1833
3/18/20	2657
3/19/20	4494
3/20/20	6367
3/21/20	5995
3/22/20	8918
3/23/20	11152
3/24/20	10618
3/25/20	12127
3/26/20	17820
3/27/20	18592
3/28/20	22160
3/29/20	16134
3/30/20	22153
3/31/20	26380
4/1/20	32202
4/2/20	32346
4/3/20	32365
4/4/20	32387
4/5/20	29334
4/6/20	31933
4/7/20	30576
4/8/20	31118
4/9/20	36073
4/10/20	34276
4/11/20	29189
4/12/20	26934
4/13/20	26992
4/14/20	28413
4/15/20	25962
4/16/20	30263
4/17/20	33004
4/18/20	27933
4/19/20	25871
4/20/20	29789
4/21/20	26218
4/22/20	29071
4/23/20	33253
4/24/20	32339
4/25/20	30378
4/26/20	26573
4/27/20	23795
4/28/20	24688
4/29/20	26431
4/30/20	29157
5/1/20	34902
5/2/20	27404
5/3/20	24329
5/4/20	24238
5/5/20	24448
5/6/20	24380
5/7/20	27620
5/8/20	27133
5/9/20	24700
5/10/20	19013
5/11/20	19139
5/12/20	22886
5/13/20	20517
5/14/20	26736
5/15/20	24697
5/16/20	24284
5/17/20	18640
5/18/20	22213
5/19/20	20919
5/20/20	22795
5/21/20	25787
5/22/20	23658
5/23/20	21119
5/24/20	20306
5/25/20	18488
5/26/20	18984
5/27/20	19476
5/28/20	21723
5/29/20	24648
5/30/20	24213
5/31/20	19336
6/1/20	17004
6/2/20	21269
6/3/20	19780
6/4/20	21735
6/5/20	24911
6/6/20	21474
6/7/20	18268
6/8/20	16699
6/9/20	18008
6/10/20	21196
6/11/20	22401
6/12/20	25149
6/13/20	25125
6/14/20	19332
6/15/20	18583
6/16/20	23901
6/17/20	27215
6/18/20	28401
6/19/20	31685
6/20/20	32534
6/21/20	26067
6/22/20	31159
6/23/20	37265
6/24/20	36212
6/25/20	40260
6/26/20	46319
6/27/20	41698
6/28/20	41796
6/29/20	39701
6/30/20	48369
7/1/20	51565
7/2/20	56368
7/3/20	52617
7/4/20	48359
7/5/20	50802
7/6/20	42735
7/7/20	59127
7/8/20	59643
7/9/20	60953
7/10/20	67801
7/11/20	61259
7/12/20	60028
7/13/20	57864
7/14/20	66890
7/15/20	67936
7/16/20	76052
7/17/20	71543
7/18/20	64350
7/19/20	61246
7/20/20	60492
7/21/20	65546
7/22/20	70374
7/23/20	68749
7/24/20	73638
7/25/20	66155
7/26/20	56327
7/27/20	56844
7/28/20	63140
7/29/20	68967
7/30/20	67940
7/31/20	68428
8/1/20	58396
8/2/20	46457
8/3/20	45183
8/4/20	55270
8/5/20	55524
8/6/20	57540
8/7/20	60421
8/8/20	55106
8/9/20	48147
8/10/20	45890
8/11/20	52371
8/12/20	52731
8/13/20	51429
8/14/20	65296
8/15/20	49346
8/16/20	39910
8/17/20	35803
8/18/20	42905
8/19/20	44434
8/20/20	44578
8/21/20	48768
8/22/20	44344
8/23/20	34485
8/24/20	34905
8/25/20	40855
8/26/20	43937
8/27/20	45960
8/28/20	46512
8/29/20	44207
8/30/20	34802
8/31/20	32703
9/1/20	42813
9/2/20	40688
9/3/20	44334
9/4/20	50671
9/5/20	43387
9/6/20	30974
9/7/20	23842
9/8/20	25626
9/9/20	34600
9/10/20	35939
9/11/20	47967
9/12/20	41693
9/13/20	34442
9/14/20	33248
9/15/20	39461
9/16/20	38906
9/17/20	45202
9/18/20	49143
9/19/20	42580
9/20/20	38879
9/21/20	50723
9/22/20	40068
9/23/20	38911
9/24/20	47369
9/25/20	48367
9/26/20	44933
9/27/20	38062
9/28/20	32668
9/29/20	43563
9/30/20	39099
10/1/20	45979
10/2/20	55146
10/3/20	49481
10/4/20	35543
10/5/20	38314
10/6/20	45383
10/7/20	51126
10/8/20	59023
10/9/20	56676
10/10/20	55491
10/11/20	46665
10/12/20	41578
10/13/20	51563
10/14/20	59293
10/15/20	65059
10/16/20	69131
10/17/20	57308
10/18/20	50808
10/19/20	67075
10/20/20	61701
10/21/20	63154
10/22/20	76207
10/23/20	82522
10/24/20	83282
10/25/20	62314
10/26/20	66712
10/27/20	77021
10/28/20	79322
10/29/20	90983
10/30/20	100054
10/31/20	90359
11/1/20	105184
11/2/20	84099
11/3/20	127747
11/4/20	104119
11/5/20	129887
11/6/20	127875
11/7/20	131261
11/8/20	114779
11/9/20	119324
11/10/20	139926
11/11/20	148217
11/12/20	162959
11/13/20	181051
11/14/20	171059
11/15/20	137018
11/16/20	160802
11/17/20	163775
11/18/20	173510
11/19/20	191723
11/20/20	201195
11/21/20	180863
11/22/20	146211
11/23/20	173184
11/24/20	177326
11/25/20	184656
11/26/20	116221
11/27/20	204946
11/28/20	157618
11/29/20	140405
11/30/20	156737
12/1/20	193844
12/2/20	204174
12/3/20	224501
12/4/20	234710
12/5/20	220739
12/6/20	178559
12/7/20	191541
12/8/20	230507
12/9/20	221564
12/10/20	234254
12/11/20	240714
12/12/20	220050
12/13/20	186835
12/14/20	201928
12/15/20	221494
12/16/20	240447
12/17/20	237521
12/18/20	248496
12/19/20	201108
12/20/20	185299
12/21/20	191301
12/22/20	201236
12/23/20	225409
12/24/20	205235
12/25/20	107953
12/26/20	218520
12/27/20	154478
12/28/20	168003
12/29/20	201209
12/30/20	221752
12/31/20	258805
1/1/21	164676
1/2/21	296457
1/3/21	203063
1/4/21	182681
1/5/21	231226
1/6/21	256321
1/7/21	288687
1/8/21	302959
1/9/21	259092
1/10/21	212703
1/11/21	212012
1/12/21	218434
1/13/21	229502
1/14/21	238670
1/15/21	246236
1/16/21	208065
1/17/21	176340
